timestamp,open,high,low,close,volume
2017-01-02 23:00:00+00:00,1150.0,1152.472,1149.418,1150.361,0.62388
2017-01-03 00:00:00+00:00,1150.361,1151.701,1149.682,1150.801,0.72116
2017-01-03 01:00:00+00:00,1150.782,1156.822,1150.381,1156.131,0.97628
2017-01-03 02:00:00+00:00,1156.131,1158.698,1154.989,1157.221,1.17367
2017-01-03 03:00:00+00:00,1157.221,1157.402,1156.041,1156.922,0.39214
2017-01-03 04:00:00+00:00,1156.922,1157.538,1156.771,1157.388,0.46917
2017-01-03 05:00:00+00:00,1157.388,1158.039,1156.708,1157.808,0.95072
2017-01-03 06:00:00+00:00,1157.828,1158.722,1157.131,1157.522,1.04694
2017-01-03 07:00:00+00:00,1157.499,1157.538,1152.172,1153.128,1.98078
2017-01-03 08:00:00+00:00,1153.128,1154.442,1150.558,1151.551,3.54677
2017-01-03 09:00:00+00:00,1151.589,1151.959,1147.638,1148.171,3.42031
2017-01-03 10:00:00+00:00,1148.171,1148.609,1146.708,1146.789,2.34527
2017-01-03 11:00:00+00:00,1146.781,1148.789,1146.039,1148.579,2.96585
2017-01-03 12:00:00+00:00,1148.598,1149.058,1147.168,1148.679,2.0413
2017-01-03 13:00:00+00:00,1148.688,1151.329,1148.528,1150.678,3.27487
2017-01-03 14:00:00+00:00,1150.678,1155.551,1146.728,1153.741,4.86579
2017-01-03 15:00:00+00:00,1153.642,1155.959,1147.861,1154.918,6.10526
2017-01-03 16:00:00+00:00,1154.918,1164.408,1153.488,1160.368,6.27827
2017-01-03 17:00:00+00:00,1160.338,1162.862,1158.572,1161.962,4.05591
2017-01-03 18:00:00+00:00,1162.008,1163.399,1159.248,1159.432,3.78271
2017-01-03 19:00:00+00:00,1159.388,1160.298,1158.879,1159.098,2.34285
2017-01-03 20:00:00+00:00,1159.179,1159.618,1156.698,1159.269,2.75494
2017-01-03 21:00:00+00:00,1159.278,1159.839,1157.961,1158.102,0.74815
2017-01-03 23:00:00+00:00,1157.751,1159.162,1156.968,1157.109,0.63819
2017-01-04 00:00:00+00:00,1157.109,1158.289,1156.211,1157.021,1.46309
2017-01-04 01:00:00+00:00,1157.028,1158.568,1156.138,1157.488,1.69518
2017-01-04 02:00:00+00:00,1157.488,1160.821,1157.488,1160.778,2.00677
2017-01-04 03:00:00+00:00,1160.778,1161.551,1159.348,1161.119,1.66736
2017-01-04 04:00:00+00:00,1161.119,1161.688,1160.038,1160.142,0.98142
2017-01-04 05:00:00+00:00,1160.142,1161.661,1159.718,1161.558,0.97673
2017-01-04 06:00:00+00:00,1161.508,1163.351,1160.971,1162.248,1.89114
2017-01-04 07:00:00+00:00,1162.299,1163.218,1161.198,1161.571,2.15466
2017-01-04 08:00:00+00:00,1161.558,1164.352,1160.778,1163.212,3.86797
2017-01-04 09:00:00+00:00,1163.212,1167.799,1163.078,1165.399,3.17312
2017-01-04 10:00:00+00:00,1165.398,1166.349,1164.558,1165.339,2.99969
2017-01-04 11:00:00+00:00,1165.318,1167.549,1164.958,1165.351,3.38053
2017-01-04 12:00:00+00:00,1165.302,1166.259,1163.958,1165.508,2.79644
2017-01-04 13:00:00+00:00,1165.509,1167.862,1162.981,1164.198,4.82561
2017-01-04 14:00:00+00:00,1164.198,1165.841,1162.142,1165.002,4.54044
2017-01-04 15:00:00+00:00,1165.002,1166.528,1163.552,1165.501,4.18618
2017-01-04 16:00:00+00:00,1165.489,1165.618,1163.209,1165.109,4.20864
2017-01-04 17:00:00+00:00,1165.109,1167.248,1164.668,1164.898,2.67558
2017-01-04 18:00:00+00:00,1164.878,1166.059,1163.868,1164.042,3.01572
2017-01-04 19:00:00+00:00,1164.042,1166.719,1160.688,1162.758,4.519175
2017-01-04 20:00:00+00:00,1162.748,1164.309,1162.518,1163.498,2.52569
2017-01-04 21:00:00+00:00,1163.549,1164.389,1162.319,1162.668,0.85364
2017-01-04 22:00:00+00:00,1162.332,1162.332,1162.332,1162.332,7.5e-05
2017-01-04 23:00:00+00:00,1163.338,1165.819,1162.898,1165.818,0.82176
2017-01-05 00:00:00+00:00,1165.858,1172.508,1165.798,1171.739,3.46816
2017-01-05 01:00:00+00:00,1171.688,1172.919,1170.058,1171.248,3.47226
2017-01-05 02:00:00+00:00,1171.248,1172.908,1170.848,1172.429,2.84328
2017-01-05 03:00:00+00:00,1172.378,1174.249,1172.328,1173.358,2.48774
2017-01-05 04:00:00+00:00,1173.358,1173.818,1172.958,1173.528,1.73575
2017-01-05 05:00:00+00:00,1173.518,1177.649,1173.308,1175.249,3.849325
2017-01-05 06:00:00+00:00,1175.158,1178.978,1174.378,1178.478,3.3894
2017-01-05 07:00:00+00:00,1178.488,1178.818,1176.461,1177.458,3.64654
2017-01-05 08:00:00+00:00,1177.441,1179.329,1171.828,1173.529,5.60143
2017-01-05 09:00:00+00:00,1173.518,1174.249,1170.548,1172.771,4.50728
2017-01-05 10:00:00+00:00,1172.771,1173.681,1170.971,1171.298,3.6937
2017-01-05 11:00:00+00:00,1171.278,1172.879,1170.471,1171.801,3.019105
2017-01-05 12:00:00+00:00,1171.788,1174.468,1170.778,1172.849,3.1536
2017-01-05 13:00:00+00:00,1172.839,1176.668,1171.291,1175.651,5.99377
2017-01-05 14:00:00+00:00,1175.651,1179.042,1175.212,1176.871,5.4919
2017-01-05 15:00:00+00:00,1176.962,1182.168,1176.059,1181.329,6.13859
2017-01-05 16:00:00+00:00,1181.329,1185.038,1180.852,1182.428,5.90327
2017-01-05 17:00:00+00:00,1182.451,1183.449,1181.838,1181.988,3.66856
2017-01-05 18:00:00+00:00,1181.989,1182.319,1179.788,1181.728,3.53996
